Address Count,Avg Gas Price,Block Difficulty,Block Size,Block Time,Unique Daily Active Eth Address Total Count,Unique Daily Active Eth Address Receive Count,Unique Daily Active Eth Address Sent Count,Gas Limit,Gas Used,Uncles,Network Hash,Verified Contracts,Network Utilization,No. of ERC20 Token Transfers,Transaction Fee,Tx Growth,Supply,MarketCap,Price,weekday,day,Next Price
100677504,37266087486.0,2285.532,28817,13.11,361895,296522,200431,9979235,61096035988.0,449,183292.2598,91,0.9454,517044,2.15e+21,923075,111283852.8,27153.260089999996,244.0,1,1,248.01
100791630,582000000000.0,2277.1620000000003,31137,13.35,348050,281055,206477,9981745,60311175849.0,422,179062.9459,65,0.9489,514404,1.3e+22,939890,111297307.5,27602.845230000003,248.01,1,2,230.21
100906566,710000000000.0,2281.666,30366,13.14,349349,280948,211093,9979137,61181419926.0,413,181450.5696,84,0.9499,491277,1.54e+22,925331,111310909.5,25624.88448,230.21,1,3,237.54
101020408,35616566860.0,2275.795,27921,13.04,364656,301559,202240,9980198,61189587169.0,416,182327.0387,77,0.9424,515655,2.05e+21,889318,111324605.0,26444.04668,237.54,1,4,238.21
101147141,29377910098.0,2291.641,25744,13.19,343521,285163,177887,9982525,61047248653.0,402,182747.7365,64,0.9427,471643,1.59e+21,833267,111338248.7,26521.88421,238.21,0,5,231.61
101258646,24230716812.0,2300.612,25218,13.03,318564,261300,170853,9980816,61760294204.0,369,183596.2569,31,0.9490000000000001,463063,1.34e+21,785017,111351918.2,25790.217780000003,231.61,0,6,230.98
101370363,43250992524.0,2302.5460000000003,29458,13.14,356076,281882,218401,9980246,61069649199.0,417,183324.2542,79,0.948,514653,2.53e+21,912281,111365544.3,25723.21342,230.98,1,0,235.35
101480065,40533137609.0,2353.433,28873,13.2,352652,289000,208027,9977209,60941058656.0,402,186231.7117,96,0.9507,514563,2.31e+21,904928,111379079.7,26213.0664,235.35,1,1,233.76
101585564,42028712404.0,2301.87,28123,13.21,346857,280770,214563,9984092,60946003731.0,400,181591.9844,93,0.9519,529859,2.42e+21,879736,111392575.7,26039.12849,233.76,1,2,231.24
101692650,38424496007.0,2296.669,28974,13.18,374782,312862,207533,9980779,61069412568.0,436,183042.3685,96,0.9491,529846,2.23e+21,913845,111406196.7,25761.568909999998,231.24,1,3,228.71
101816499,39365512466.0,2330.632,30653,13.05,363156,298705,213562,10743046,66910453808.0,432,187071.0167,75,0.9545,572897,2.48e+21,945942,111419917.7,25482.84937,228.71,1,4,228.89
101974272,29553002666.0,2358.639,31027,13.14,366642,308339,198430,11867176,72612038879.0,421,187926.7704,55,0.9472,547762,1.95e+21,941415,111433546.7,25506.02451,228.89,0,5,227.83
102116463,29937373565.0,2346.555,34003,13.09,350978,293195,194296,11950565,73789408610.0,402,187588.6189,49,0.9499,559428,1.99e+21,987058,111447224.6,25391.02118,227.83,0,6,243.3
102229470,41302954545.0,2319.236,36756,13.19,385734,316092,227925,11883870,72492819746.0,405,184143.0795,69,0.946,634837,2.85e+21,1092083,111460810.9,27118.415289999997,243.3,1,0,243.16
102349204,45491287860.0,2350.415,37098,13.18,401405,330210,235246,11956674,72895209155.0,456,187652.3397,81,0.9472,659346,3.2e+21,1119442,111474457.4,27106.129060000003,243.16,1,1,234.56
102478463,46589720161.0,2362.403,38433,13.08,381492,314207,233177,11945719,73472841345.0,429,188992.2743,83,0.9506,584545,3.31e+21,1070862,111488136.0,26150.65717,234.56,1,2,232.35
102637549,42575132701.0,2405.277,38239,13.23,377998,308736,232902,11805413,72163570447.0,433,191614.8727,88,0.9478,544169,2.95e+21,1041742,111501753.0,25907.43232,232.35,1,3,229.46
102801929,38176707953.0,2406.899,35309,13.23,380731,314987,231576,11917515,73135681440.0,428,191549.0379,65,0.9531,570798,2.69e+21,1017505,111515354.5,25588.31325,229.46,1,4,220.81
102945748,36769845271.0,2387.371,36473,13.35,375433,314110,220254,11831137,71543111126.0,430,187756.7497,58,0.9511,547007,2.52e+21,1017138,111528805.2,24626.67547,220.81,0,5,224.99
